"","sample","similiraty"
"H366","H168","0.4568"
"H366","H167","0.4625"
"H366","H166","0.4317"
"H366","H165","0.4814"
"H366","H164","0.4688"
"H366","H163","0.4717"
"H366","H162","0.4736"
"H366","H161","0.4738"
"H366","H160","0.4619"
"H366","H16","0.4631"
"H366","H159","0.4605"
"H366","H158","0.4547"
"H366","H157","0.4681"
"H366","H156","0.4449"
"H366","H155","0.4566"
"H366","H154","0.4444"
"H366","H153","0.458"
"H366","H152","0.4541"
"H366","H151","0.4555"
"H366","H150","0.4564"
"H366","H15","0.4662"
"H366","H149","0.4567"
"H366","H148","0.4571"
"H366","H147","0.4584"
"H366","H146","0.4383"
"H366","H145","0.4477"
"H366","H144","0.447"
"H366","H143","0.4546"
"H366","H142","0.4553"
"H366","H141","0.4583"
"H366","H140","0.4485"
"H366","H139","0.4563"
"H366","H138","0.4527"
"H366","H136","0.4633"
"H366","H135","0.457"
"H366","H134","0.4642"
"H366","H133","0.4572"
"H366","H132","0.4375"
"H366","H131","0.4642"
"H366","H130","0.46"
"H366","H13","0.4576"
"H366","H129","0.4662"
"H366","H128","0.4573"
"H366","H127","0.457"
"H366","H126","0.4506"
"H366","H125","0.4536"
"H366","H124","0.4655"
"H366","H123","0.4624"
"H366","H122","0.4545"
"H366","H121","0.4447"
"H366","H120","0.4504"
"H366","H12","0.4506"
"H366","H119","0.4504"
"H366","H118","0.4502"
"H366","H117","0.4506"
"H366","H116","0.4503"
"H366","H115","0.4504"
"H366","H114","0.4502"
"H366","H113","0.4504"
"H366","H112","0.4502"
"H366","H111","0.4504"
"H366","H110","0.4503"
"H366","H11","0.4512"
"H366","H109","0.4504"
"H366","H108","0.4493"
"H366","H107","0.45"
"H366","H106","0.4497"
"H366","H105","0.4557"
"H366","H104","0.4562"
"H366","H103","0.4695"
"H366","H102","0.4566"
"H366","H101","0.4608"
"H366","H100","0.4895"
"H366","H10","0.4505"
"H366","H1","0.4535"
"H365","H368","0.9174"
"H365","H367","0.6661"
"H365","H366","0.4551"
"H365","H365","1"
"H365","H364","0.572"
"H365","H363","0.5913"
"H365","H362","0.9608"
"H365","H361","0.9605"
"H365","H99","0.6777"
"H365","H98","0.6075"
"H365","H97","0.6086"
"H365","H96","0.5452"
"H365","H95","0.5409"
"H365","H94","0.5417"
"H365","H93","0.5603"
"H365","H92","0.5557"
"H365","H91","0.6299"
"H365","H90","0.6234"
"H365","H9","0.656"
"H365","H89","0.616"
"H365","H88","0.7334"
"H365","H87","0.6191"
"H365","H86","0.6311"
"H365","H85","0.6418"
"H365","H84","0.6557"
"H365","H83","0.719"
"H365","H82","0.6198"
"H365","H81","0.6193"
"H365","H8","0.6755"
"H365","H79","0.6333"
"H365","H78","0.6574"
"H365","H77","0.6253"
"H365","H76","0.6235"
"H365","H75","0.5749"
"H365","H74","0.6188"
"H365","H73","0.6167"
"H365","H72","0.6298"
"H365","H71","0.6372"
"H365","H70","0.6351"
"H365","H7","0.6753"
"H365","H69","0.637"
"H365","H68","0.646"
"H365","H67","0.6431"
"H365","H66","0.6144"
"H365","H65","0.6271"
"H365","H64","0.6344"
"H365","H63","0.5904"
"H365","H62","0.5636"
"H365","H61","0.5703"
"H365","H60","0.6785"
"H365","H6","0.6631"
"H365","H59","0.5839"
"H365","H58","0.6133"
"H365","H57","0.61"
"H365","H56","0.6681"
"H365","H55","0.6717"
"H365","H54","0.6684"
"H365","H53","0.6213"
"H365","H52","0.6123"
"H365","H51","0.5841"
"H365","H50","0.628"
"H365","H5","0.6695"
"H365","H49","0.6123"
"H365","H48","0.5907"
"H365","H47","0.5942"
"H365","H46","0.6177"
"H365","H45","0.6739"
"H365","H44","0.7023"
"H365","H43","0.7638"
"H365","H42","0.6101"
"H365","H41","0.6396"
"H365","H40","0.6551"
"H365","H4","0.6674"
"H365","H39","0.6154"
"H365","H38","0.6118"
"H365","H37","0.6781"
